Model,Accuracy,F1 Score,Precision,NORMAL_F1,NORMAL_Precision,PNEUMONIA_F1,PNEUMONIA_Precision,UNKNOWN_F1,UNKNOWN_Precision,TUBERCULOSIS_F1,TUBERCULOSIS_Precision
model_29,98.2973149967256,0.9829818212033252,0.9831322150482615,0.9763636363636363,0.9728260869565217,0.9849012775842044,0.9769585253456221,1.0,1.0,0.9842041312272175,0.9975369458128078
model_30,97.51146037982973,0.974989220482263,0.9757554773427265,0.9643527204502814,0.9922779922779923,0.9815242494226328,0.9681093394077449,1.0,1.0,0.9741784037558685,0.9540229885057471
model_31,98.36280288146693,0.9836155397547206,0.9836276026748562,0.9770852428964253,0.9815837937384899,0.9824970828471412,0.9790697674418605,1.0,1.0,0.9880382775119617,0.9856801909307876
model_32,98.42829076620825,0.9842763745119248,0.9842752760824136,0.9780621572212066,0.9798534798534798,0.9836065573770492,0.9836065573770492,1.0,1.0,0.9880382775119617,0.9856801909307876
model_33,98.49377865094957,0.9849247333835565,0.9851341193752958,0.9788018433179724,0.9888268156424581,0.9838709677419355,0.9682539682539683,1.0,1.0,0.9891696750902527,0.9927536231884058
model_34,98.2973149967256,0.9829722904134345,0.9829775388181793,0.9771689497716894,0.9780621572212066,0.9812646370023419,0.9812646370023419,0.9962825278810409,1.0,0.9880382775119617,0.9856801909307876
model_35,98.42829076620825,0.9842879446056405,0.9842968446929196,0.9781420765027322,0.9763636363636363,0.9800703399765534,0.9812206572769953,1.0,1.0,0.9915966386554622,0.9927884615384616
model_36,98.49377865094957,0.9849325023008678,0.9850257939316959,0.9797794117647058,0.987037037037037,0.9826187717265353,0.9724770642201835,1.0,1.0,0.9891956782713085,0.9903846153846154
model_37,97.83889980353635,0.9783743194073753,0.9784295368355382,0.9700272479564033,0.9656419529837251,0.9716312056737588,0.9809069212410502,1.0,1.0,0.989247311827957,0.9857142857142858
model_38,98.10085134250164,0.981042366777105,0.9812408368403783,0.9738503155996393,0.9625668449197861,0.9787234042553191,0.9880668257756563,1.0,1.0,0.9867310012062727,0.9927184466019418
model_39,98.10085134250164,0.9810056723578412,0.9810426577264646,0.9745454545454545,0.9710144927536232,0.9787735849056604,0.9857482185273159,0.996309963099631,0.9926470588235294,0.9868263473053892,0.9856459330143541
